Episode,Avg Reward,SuccessRate
3680,113.1621,0.91
3690,121.9428,0.92
3700,110.8146,0.94
3710,121.9016,0.95
3720,122.3627,0.96
3730,122.4938,0.96
3740,121.624,0.98
3750,121.8531,0.98
3760,122.9109,0.98
3770,120.2662,0.97
3780,104.7864,0.95
3790,122.0581,0.94
3800,113.1906,0.93
3810,122.5909,0.93
3820,121.6783,0.93
3830,121.6022,0.93
3840,122.6797,0.93
3850,121.9583,0.93
3860,123.1137,0.93
3870,122.7066,0.93
3880,122.5734,0.94
3890,123.7592,0.97
3900,116.4448,0.98
3910,119.1951,0.97
3920,119.9893,0.96
3930,122.5142,0.96
3940,120.3515,0.94
3950,122.1386,0.94
3960,113.3305,0.92
3970,122.0473,0.92
3980,122.3906,0.91
3990,115.8942,0.9
4000,120.2999,0.9
4010,121.6796,0.9
4020,122.7762,0.92
4030,122.2455,0.92
4040,122.049,0.93
4050,119.0907,0.93
4060,122.2597,0.93
4070,122.4979,0.94
4080,121.5829,0.94
4090,121.916,0.95
4100,118.2532,0.96
4110,113.985,0.94
4120,106.5777,0.92
4130,122.3329,0.92
4140,121.7587,0.92
4150,121.3981,0.91
4160,121.7162,0.92
4170,121.8645,0.93
4180,121.6437,0.92
4190,122.3432,0.92
4200,121.8259,0.92
4210,121.8935,0.95
4220,120.7313,0.95
4230,122.1003,0.97
4240,122.5719,0.97
4250,121.8869,0.97
4260,122.4316,0.97
4270,121.9025,0.97
4280,100.2923,0.94
4290,121.2436,0.94
4300,117.5567,0.93
4310,121.7037,0.93
4320,119.4584,0.93
4330,122.8011,0.93
4340,121.6144,0.93
4350,122.0136,0.93
4360,122.4157,0.94
4370,108.8021,0.92
4380,115.491,0.92
4390,122.3107,0.94
4400,121.5432,0.95
4410,118.7199,0.94
4420,117.8633,0.93
4430,122.0261,0.94
4440,120.2386,0.93
4450,122.3634,0.93
4460,122.5428,0.93
4470,118.9649,0.94
4480,122.0021,0.95
4490,121.6231,0.96
4500,115.2451,0.94
4510,122.247,0.94
4520,120.0917,0.95
4530,121.5806,0.94
4540,122.8832,0.95
4550,121.3351,0.95
4560,121.7158,0.95
4570,113.6844,0.94
4580,117.2719,0.93
4590,121.9211,0.93
4600,115.2338,0.92
4610,121.7373,0.93
4620,121.6844,0.93
4630,122.4829,0.95
4640,117.2906,0.94
4650,118.8941,0.92
4660,122.2749,0.92
4670,121.9926,0.94
4680,121.9944,0.94
4690,122.0719,0.95
4700,122.2829,0.96
4710,118.8581,0.96
4720,121.5444,0.96
4730,122.1543,0.96
4740,122.5018,0.96
4750,122.9543,0.99
4760,123.0721,0.99
4770,122.0953,0.99
4780,121.8881,0.99
4790,122.6494,0.99
4800,120.3778,0.98
4810,122.8549,0.98
4820,116.7129,0.97
4830,122.5335,0.97
4840,122.3493,0.97
4850,122.2427,0.97
4860,122.5852,0.97
4870,121.5737,0.96
4880,122.2841,0.96
4890,105.8589,0.92
4900,118.2091,0.92
4910,109.5969,0.9
4920,122.4179,0.91
4930,119.7934,0.9
4940,122.1875,0.9
4950,121.3223,0.9
4960,123.1336,0.9
4970,122.7492,0.91
4980,122.7767,0.91
4990,104.033,0.91
5000,115.0619,0.92
5010,122.4408,0.94
5020,120.2127,0.93
5030,121.6104,0.93
5040,122.2031,0.95
5050,122.5739,0.95
5060,121.8743,0.95
5070,121.9259,0.95
5080,120.7303,0.94
5090,121.3629,0.94
5100,115.5728,0.94
5110,120.6065,0.93
5120,120.1343,0.92
5130,117.3465,0.91
5140,122.0272,0.91
5150,122.345,0.91
5160,122.5163,0.9
5170,120.16,0.89
5180,122.4305,0.9
5190,120.2848,0.89
5200,122.684,0.92
5210,117.1035,0.92
5220,120.5435,0.93
5230,117.214,0.93
5240,122.7521,0.94
5250,122.4635,0.93
5260,111.8853,0.92
5270,123.3927,0.94
5280,121.9943,0.94
5290,121.8353,0.95
5300,116.8201,0.93
5310,118.5436,0.93
5320,122.2668,0.94
5330,122.4977,0.94
5340,119.4061,0.93
5350,123.64,0.93
5360,122.9237,0.94
5370,118.1578,0.94
5380,122.2332,0.94
5390,122.3663,0.94
5400,122.6677,0.94
5410,117.2198,0.95
5420,122.6491,0.96
5430,122.5223,0.96
5440,117.0883,0.94
5450,108.8155,0.93
5460,121.014,0.91
5470,122.3108,0.92
5480,123.0344,0.92
5490,117.2317,0.91
5500,122.1365,0.91
5510,119.8481,0.9
5520,117.5457,0.87
5530,122.3037,0.87
5540,118.9271,0.86
5550,122.9393,0.89
5560,117.4199,0.9
5570,122.0478,0.9
5580,121.3074,0.9
5590,120.0763,0.89
5600,118.2103,0.88
5610,122.7148,0.89
5620,122.5451,0.92
5630,122.2807,0.93
5640,122.3128,0.93
5650,105.3163,0.93
5660,119.7139,0.92
5670,122.1438,0.93
5680,113.3111,0.91
5690,122.1574,0.93
5700,119.908,0.91
5710,121.5382,0.92
5720,122.7083,0.92
5730,122.5983,0.92
5740,111.379,0.91
5750,121.9944,0.93
5760,111.0817,0.92
5770,122.1465,0.93
5780,110.9229,0.92
5790,117.49,0.9
5800,117.7775,0.91
5810,110.7487,0.89
5820,122.3248,0.89
5830,123.4808,0.89
5840,117.0206,0.89
5850,122.3486,0.89
5860,122.2761,0.89
5870,120.4895,0.89
5880,122.8368,0.9
5890,122.7508,0.92
5900,123.2403,0.93
5910,120.888,0.93
5920,118.5864,0.94
5930,121.2483,0.94
5940,121.785,0.93
5950,121.0079,0.94
5960,121.2095,0.94
5970,121.8847,0.96
5980,121.4522,0.96
5990,120.7811,0.97
6000,121.9087,0.97
6010,122.5014,0.97
6020,121.9579,0.98
6030,122.1066,0.98
6040,110.8426,0.97
6050,122.3842,0.97
6060,121.621,0.97
6070,119.7658,0.96
6080,110.5701,0.95
6090,121.8541,0.95
6100,122.167,0.95
6110,122.4109,0.95
6120,114.3522,0.93
6130,122.0537,0.94
6140,122.5115,0.95
6150,121.8365,0.96
6160,123.3695,0.96
6170,121.5021,0.95
6180,120.5619,0.96
6190,123.1893,0.96
6200,122.181,0.96
6210,117.6464,0.95
6220,117.4841,0.95
6230,114.9876,0.93
6240,122.3578,0.93
6250,122.4951,0.93
6260,122.4045,0.93
6270,117.7155,0.92
6280,109.3138,0.9
6290,119.7351,0.88
6300,122.3911,0.88
6310,106.9186,0.87
6320,122.2019,0.88
6330,119.8957,0.89
6340,111.9168,0.89
6350,122.6881,0.89
6360,107.9855,0.86
6370,108.4229,0.86
6380,119.6442,0.87
6390,121.9719,0.9
6400,107.9415,0.88
6410,121.0858,0.9
6420,122.2916,0.9
6430,120.653,0.9
6440,112.5461,0.9
6450,122.3576,0.9
6460,121.9368,0.91
6470,115.9877,0.93
6480,117.8984,0.93
6490,121.7955,0.92
6500,122.2046,0.93
6510,121.6628,0.94
6520,120.2041,0.93
6530,121.787,0.93
6540,121.8622,0.95
6550,121.5851,0.95
6560,122.4328,0.95
6570,117.6075,0.95
6580,119.1811,0.94
6590,121.561,0.95
6600,122.1526,0.96
6610,122.0644,0.96
6620,121.6345,0.96
6630,123.58,0.97
6640,115.3479,0.95
6650,118.068,0.93
