Episode,Avg Reward,SuccessRate
512,83.0398,0.61
513,91.6257,0.63
514,102.2075,0.67
515,84.8993,0.68
516,101.7572,0.7
517,102.2679,0.74
518,102.4269,0.78
519,100.0026,0.79
520,102.0635,0.83
521,86.1505,0.85
522,100.105,0.89
523,88.5718,0.87
524,81.9671,0.84
525,103.0742,0.87
526,92.6999,0.85
527,102.5628,0.85
528,96.8589,0.83
529,94.1134,0.83
530,101.9361,0.83
531,97.1068,0.85
532,101.5784,0.85
533,94.2311,0.88
534,101.6976,0.9
535,94.8683,0.9
536,102.6477,0.93
537,102.4708,0.93
538,98.7781,0.92
539,103.4645,0.93
540,95.1671,0.93
541,80.014,0.87
542,98.3799,0.86
543,96.754,0.85
544,97.0285,0.82
545,95.6587,0.81
546,91.5691,0.79
547,98.8058,0.76
548,91.8837,0.75
549,100.0076,0.72
550,101.5624,0.74
551,84.1255,0.74
552,94.402,0.74
553,86.231,0.72
554,101.8435,0.74
555,85.0214,0.73
556,95.6568,0.75
557,87.1092,0.75
558,94.5981,0.76
559,91.646,0.75
560,101.0381,0.77
561,88.6055,0.77
562,98.681,0.77
563,89.5661,0.76
564,90.8042,0.75
565,87.0931,0.75
566,92.6535,0.74
567,89.0551,0.73
568,103.2207,0.77
569,87.0914,0.74
570,97.949,0.75
571,87.9048,0.72
572,101.4186,0.74
573,89.9294,0.74
574,94.0941,0.76
575,94.4594,0.76
576,83.2194,0.76
577,86.8055,0.74
578,99.9573,0.74
579,102.1744,0.75
580,101.2944,0.76
581,95.8868,0.78
582,103.0425,0.79
583,103.9793,0.82
584,98.8717,0.81
585,100.9865,0.81
586,103.6786,0.85
587,95.0176,0.85
588,98.0151,0.87
589,94.6212,0.87
590,103.8817,0.89
591,98.8537,0.89
592,82.0116,0.84
593,94.0161,0.82
594,96.4298,0.8
595,96.5172,0.79
596,90.1009,0.78
597,98.3785,0.79
598,87.3159,0.77
599,97.936,0.78
600,87.9626,0.76
601,101.633,0.77
602,83.1185,0.78
603,101.1036,0.8
604,95.7722,0.83
605,87.7046,0.82
606,102.2003,0.84
607,102.2492,0.85
608,89.4858,0.84
609,88.9997,0.81
610,94.123,0.82
611,103.0306,0.82
612,82.642,0.82
613,95.313,0.79
614,102.1177,0.8
615,102.852,0.83
616,102.6242,0.82
617,94.2794,0.82
618,101.7512,0.86
619,99.1788,0.88
620,95.9039,0.89
621,93.0474,0.87
622,98.4192,0.89
623,73.2948,0.88
624,95.7252,0.87
625,88.0186,0.84
626,101.9805,0.84
627,87.2037,0.82
628,91.6824,0.78
629,89.4889,0.76
630,92.3615,0.77
631,91.2098,0.76
632,94.1561,0.77
633,90.3299,0.77
634,90.4786,0.73
635,89.753,0.73
636,95.2541,0.72
637,101.7409,0.74
638,84.3172,0.74
639,91.2268,0.76
640,90.3742,0.74
641,84.1746,0.75
642,97.326,0.75
643,95.2711,0.75
644,97.331,0.79
645,104.0625,0.82
646,99.3568,0.83
647,94.0188,0.82
648,103.5297,0.86
649,87.9567,0.83
650,103.7171,0.85
651,99.1181,0.85
652,98.2121,0.84
653,95.6879,0.84
654,97.2744,0.84
655,98.9768,0.81
656,94.7593,0.79
657,97.718,0.8
658,95.5051,0.79
659,91.9861,0.79
660,101.0779,0.79
661,88.7883,0.8
662,96.9735,0.82
663,91.7172,0.82
664,95.7492,0.82
665,101.9351,0.85
