SimNumber,InstantReward,InstantSpeed,LaneLeft,Idle,LaneRight,Faster,Slower,Action
2,0.7925761315183538,22.22551808037314,8.115165710449219,8.543167114257812,8.366475105285645,8.90462589263916,8.419500350952148,3
2,0.825590189669768,23.460359641275332,7.9365234375,8.704819679260254,8.434510231018066,9.035978317260742,8.509904861450195,3
2,0.9032223704139865,26.370964194572476,5.599084377288818,9.51844596862793,9.198275566101074,9.787139892578125,9.182001113891602,3
2,0.9462966832641687,27.98614294446563,5.253464698791504,9.74777889251709,9.248583793640137,9.965072631835938,9.263687133789062,3
2,0.970198674907271,28.882452404007683,5.082730770111084,9.86079216003418,9.28420352935791,10.032115936279297,9.298025131225586,3
3,0.8593428056924476,27.225355213466784,9.037635803222656,8.892882347106934,9.01482105255127,9.185526847839355,8.673620223999023,3
3,0.8922738469790081,28.460269261712806,9.355118751525879,9.287018775939941,9.06127643585205,9.53542709350586,9.006847381591797,3
3,0.9105482353831814,29.1455588268693,9.577373504638672,9.4907865524292,8.783003807067871,9.634466171264648,9.160198211669922,3
3,0.9206892226857258,29.525845850714717,9.484790802001953,9.48690128326416,8.950614929199219,9.559746742248535,9.13444709777832,3
3,0.9263167501955866,29.736878132334496,9.50883960723877,9.528039932250977,9.023972511291504,9.556516647338867,9.18450927734375,3
3,0.9294396281688483,29.853986056331806,9.49691390991211,9.536055564880371,8.988654136657715,9.525620460510254,9.21034049987793,1
3,0.931172603586346,29.91897263448798,9.395838737487793,9.476168632507324,8.810114860534668,9.431023597717285,9.178823471069336,1
3,0.9321342818278163,29.95503556854311,8.964994430541992,9.133779525756836,8.628642082214355,9.032703399658203,8.868551254272461,1
3,0.9446768146314732,29.975047934935745,8.347637176513672,8.642573356628418,8.795940399169922,8.461075782775879,8.401344299316406,2
3,0.9480269067204871,29.986153376551243,7.923059940338135,8.578232765197754,8.653532981872559,8.327702522277832,8.509969711303711,2
3,0.9566480016879254,29.992316107687365,8.30904769897461,8.333211898803711,8.449638366699219,8.133193969726562,8.254573822021484,2
3,0.9853702176504667,29.995735985650892,8.63615894317627,9.684597969055176,9.318524360656738,9.71934986114502,9.506170272827148,3
3,0.9966689534661063,29.997633774963308,7.8297624588012695,9.794852256774902,9.392560005187988,9.819730758666992,9.484697341918945,3
3,0.9993654247260664,29.998686913207635,7.4214606285095215,9.880369186401367,9.487887382507324,9.897422790527344,9.436822891235352,3
3,0.9998843043374052,29.99927133011546,7.31746244430542,9.94847583770752,9.623122215270996,9.99173641204834,9.442630767822266,3
3,0.9999752443268782,29.999595639980747,7.301045894622803,9.97831916809082,9.659758567810059,10.022504806518555,9.460639953613281,3
3,0.9999921532847854,29.99977560891614,7.189412593841553,9.916193962097168,9.564088821411133,9.965911865234375,9.392738342285156,3
3,0.9999964497130831,29.999875478889802,6.688446044921875,9.996994972229004,9.185729026794434,10.210704803466797,9.578231811523438,3
3,0.9676071598672215,29.999930899630154,9.239789962768555,9.060288429260254,8.889704704284668,9.17851448059082,8.974853515625,0
3,0.9729966982305193,29.999961654203812,7.853518486022949,8.822300910949707,8.895657539367676,9.001554489135742,8.640745162963867,3
