HighwayCrashed,HighwayRewards,HighwaySpeed,MergerCrashed,MergerRewards,MergerSpeed
False,30.891343433514542,22.37061100104509,False,14.157856238728595,19.534351668404216
False,30.069175898134695,22.070611001045087,False,14.945759222565593,19.867685001716865
False,27.75531840111479,21.020611001045094,False,15.827837691747979,19.972521792073227
False,29.05705562563694,21.995611001045038,False,14.453579131392686,19.86768500171697
False,28.19502270338664,21.095611001045093,False,12.210978636128367,19.534351668404216
False,29.368302203955352,22.07061100104509,False,13.924522905395971,19.201018335074416
False,29.8905672043585,21.620610999452207,False,16.140203667722975,18.032543689214094
False,28.91621253211669,21.020611001045094,False,16.50561546952661,18.447652224073412
False,29.247266035667618,21.920611001044755,False,15.74006294808234,19.672536962633917
False,29.521609496488356,22.37006926460862,False,14.440439579965567,20.861150717464756
False,27.78687410720375,21.020611001045094,False,16.223537000348365,18.032543685860663
False,29.478621264867236,22.29561100104509,False,14.459134686953064,19.201018335074416
False,31.34507653914293,22.295611001045092,False,14.453579131392665,19.867685001716865
False,28.549945612103908,21.020611001045094,False,14.453579131392665,19.867685001716865
True,15.861081348181466,21.035845219208845,True,0.0,0
False,30.053520833053994,21.020611001045094,False,16.47783769174883,18.447652224073412
False,30.25134364686371,21.020611001045094,False,14.046745127617484,19.534351668404216
True,6.935533152181612,26.675832578534497,True,0.0,0
False,30.299199624605503,21.5024064489682,False,14.483892265653301,19.463695117464493
False,28.58073121843229,21.395608438714323,False,14.04674626643116,19.53435736247259
True,23.05218051719462,21.05564460632032,True,0.0,0
False,28.503868419384187,21.695610563164955,False,14.990203719766388,19.53435193216526
False,30.273427299050347,21.320523312916666,False,14.945798195067118,19.867879864224477
False,29.193752188676758,22.370611001044768,False,15.740062948082336,19.6725369626339
False,29.160201918708466,21.90506512792063,False,15.38024581548982,19.401229077449106
False,29.11322844750171,21.39561100104509,False,14.046745127617484,19.534351668404216
True,17.491723264971125,20.976977601672143,True,0.0,0
False,28.516589004313637,21.020611001045094,False,15.038948802689093,20.79443483776579
False,30.477623805484082,21.770611000671845,True,14.316726580632753,20.794434838644
True,19.715253110373087,21.876986119265887,True,0.0,0
True,26.048558200444443,22.817332945931742,True,0.0,0
False,29.24244463906656,21.545611001045092,False,14.453579131392665,19.867685001716865
False,30.10012426198423,22.44561100104509,False,14.486912464730842,19.201018335074416
False,28.695928862336906,21.845610987939278,False,13.843169811135533,22.086580187637374
False,29.561689341079326,21.095611001045093,True,4.440526383036964,16.607895745554455
False,29.797762182040824,22.295520622524606,False,15.74010311631352,19.672737803789826
False,28.240187032192033,21.320610563445115,True,14.326393289958263,20.698552711543744
False,28.185233860202185,21.39561100104509,False,14.592468020281556,19.867685001716865
False,29.238071976394785,21.170611001045096,False,16.14020366701503,18.032543685860663
False,29.033754972448683,22.220611001045093,False,16.14020366701503,18.032543685860663
False,31.81006391994093,22.354640003782222,False,14.963968554686664,19.40317610676665
False,28.68954235044809,21.62061100104317,False,14.481356909171295,19.867685001721124
False,27.94522667541288,21.170611001045096,False,14.492468020285793,19.367685001738064
False,30.064988374096853,21.095547040829857,False,16.168009871555135,18.032678338945374
False,29.920187499720655,21.020611001045094,False,14.481356909170444,19.867685001716865
False,29.53464677756764,21.320610681857197,False,14.82228227804957,20.08855323673303
False,28.31691368967929,21.395535791593694,False,15.248953567001598,20.133656723896873
False,28.08018748066137,21.17061094649963,False,14.451309114399404,20.33046001740861
False,28.214067284918446,21.020611001045094,True,14.326393095469383,20.698551681896742
False,30.862739764899043,22.502498013185157,False,15.492497866483363,19.40693377686126
False,28.876212353607,21.17023672006912,True,14.278922561427281,20.44723708990913
False,28.45172312132084,21.020611001045094,False,15.084648111454483,19.867685001716865
False,28.562410914000893,21.095611001045093,False,14.492468020285793,19.367685001738064
False,29.85134343351457,21.020611001045094,False,14.906870333680844,19.534351668404216
True,21.949233545566084,21.351230597752178,True,0.0,0
True,27.111723264995412,20.670753737511404,True,0.0,0
False,28.998389971895843,21.47061100104509,False,15.162285170305243,19.005870295970666
False,28.684723254955227,21.082794383448135,False,14.052441402105025,19.56283304084191
True,13.897963872024553,22.308682260046037,True,0.0,0
False,30.1004505014874,21.32061100104509,False,14.046745127617484,19.534351668404216
True,21.546853538631574,20.98201375130636,True,0.0,0
